 San Diego	1389.959285846465
 Bucknell	1387.2015010042933
 McNeese	1387.941750994849
 Lafayette	1410.9203226392863
 Holy Cross	1384.2184998813161
 Houston Bapist	1384.4607755191334
 Prairie View	1360.71398864903
 Monmouth	1383.0677538474936
 Charlotte	1309.6752867599341
 Mercer	1365.7227215274904
 Nicholls	1378.5892450578144
 Albany (N.Y.)	1403.8133879762806
 Incarnate Word	1331.7863052902046
 North Carolina A&T	1406.3951617435168
 Mississippi Valley State	1361.939433551569
 Tennessee State	1383.9845996852166
 Texas Southern	1367.8419385149523
 Delaware State	1361.8375771710712
 Jackson State	1427.4121398673053
 Illinois State	1374.161729897225
 S Illinois	1305.0343790536183
 Prairie View A&M	1399.0933477096871
 Norfolk State	1358.2474900581292
 Tennessee Tech	1401.4529156575281
 SE Louisiana	1301.4840324656902
 Fordham	1349.4693161421767
 Maine	1331.7680703673927
 Charleston So	1325.1941400018225
 Furman	1374.0660338225975
 Alabama St.	1373.7599212777877
 Alabama A&M	1386.8860347307836
 Coastal Carolina	1266.1188061856842
 Cincinnati	1557.7729414571115
 Abil Christian	1284.83261461354
 Chattanooga	1359.4431638966296
 E Illinois	1345.1094587099167
 North Dakota	1293.898724763741
 Presbyterian	1342.4515618293324
 Weber State	1266.462215612386
 Cal Poly	1296.737771712573
 Jacksonville St	1418.6815212886384
 Villanova	1373.6533117566614
 Syracuse	1454.2496055449776
 N Arizona	1349.2835909248288
 Georgia	1617.9122899106007
 JMU	1385.8208325986277
 Montana	1380.646302967127
 Colgate	1369.1203751473304
 Portland State	1322.6017616424729
 Indiana State	1352.9766524011002
 Indiana	1350.5772264700531
 UT Martin	1347.6483551543622
 South Dakota	1385.2629486220656
 Austin Peay	1292.8024090138592
 Duquesne	1363.5453081880823
 Hampton	1344.6246757131094
 Elon	1314.8405640878848
 Northern Iowa	1344.3578769050255
 South Dakota St	1349.7848636024826
 UC Davis	1321.0303147125733
 Morgan State	1237.647401839094
 Cent Arkansas	1276.0743771379214
 Southern	1356.0176240945887
 W Carolina	1281.9332862919175
 North Dakota St	1436.3075115260872
 Southern Utah	1299.2316642073392
 UNH	1364.7128148866873
 Rice	1429.3198634566631
 SF Austin	1295.9771241210663
 Montana State	1309.9034304645231
 Wofford	1341.211569815368
 William & Mary	1354.5960535665392
 AR-Pine Bluff	1349.0387382454064
 Texas State	1348.7624649090358
 Bethune-Cookman	1393.7496496830015
 UCF	1531.1932865553358
 Liberty	1338.3400331089385
 W Michigan	1232.0076547570795
 Samford	1347.2821566238572
 TCU	1488.865960429736
 NC Central	1365.5778458063887
 Delaware	1351.4050695217936
 Youngstown St	1356.9419707271195
 Arizona	1485.391332604102
 UTSA	1396.5194376030156
 Washington St	1368.7088116356415
 Nevada	1384.6595026776859
 Pitt	1441.5553116960828
 Boston College	1417.2726060184493
 Colorado	1331.2026537147174
 UMass	1258.2575086941015
 Richmond	1345.5410001145917
 UVA	1359.5992624716926
 Campbell	1375.914089362112
 Appalachian St	1414.6416554483483
 Colorado State	1400.3594949652916
 Boise State	1541.9803247961606
 Duke	1523.8303052108427
 Troy	1333.2493689425778
 New Mexico St	1281.2085269817453
 Georgia State	1230.0306776836783
 Maryland	1433.1328939247876
 USF	1384.0524659744344
 FAU	1313.5572408494436
 Alabama	1629.6742950875837
 Kansas State	1537.259988690994
 Iowa State	1404.6647564480816
 Michigan	1550.433822656167
 Notre Dame	1591.3631558383022
 The Citadel	1417.0072908517045
 FSU	1593.6657224788894
 Missouri State	1392.3656857962058
 Oklahoma State	1610.1754185802233
 ECU	1454.0355261762556
 South Carolina	1609.350113097636
 Arkansas State	1543.8301384003723
 Tennessee	1476.6247393337098
 Howard	1300.680434118517
 Rutgers	1430.1643929122918
 Towson	1344.7412203923006
 West Virginia	1454.4644206350922
 San Diego State	1459.2141489004587
 UNC	1496.2015047433615
 Michigan State	1504.7815953610948
 Oregon	1735.8945795208836
 E Michigan	1315.603038888659
 Florida	1545.540902695519
 Cent Michigan	1432.753076042225
 Purdue	1364.1650452782555
 Mid Tennessee	1433.8409315688334
 Minnesota	1517.8350343809147
 BYU	1499.3096703412748
 Texas	1506.6207584332035
 Sacramento St	1324.8397350415019
 Cal	1349.459381654591
 N Colorado	1350.8065453152483
 UNLV	1325.2911182993269
 VMI	1336.3839791667917
 Bowling Green	1283.8083666687778
 Murray State	1367.6029659564254
 Louisville	1578.369837877943
 Idaho	1210.6435994906747
 UL Monroe	1413.8517139512414
 Memphis	1221.6360140644213
 UCLA	1547.986926941132
 W Illinois	1372.3756780557046
 Wisconsin	1510.2054546787315
 VT	1473.7343917158892
 OSU	1665.4529757863459
 Old Dominion	1354.2995037771507
 North Carolina St	1387.4433400155242
 Lamar	1312.9420510143132
 Texas A&M	1581.188495969378
 Stony Brook	1292.347985582309
 UConn	1380.0056122407723
 Ball State	1500.2401702123173
 Iowa	1545.2987256967742
 SMU	1392.1593209157359
 North Texas	1306.3953723566678
 W Kentucky	1365.7038463969604
 Illinois	1397.765523396608
 Fresno State	1502.6894470095094
 Utah	1497.5942242133858
 Wagner	1294.1811312197533
 FIU	1303.2538408145952
 Gardner-Webb	1373.7030892240684
 Wake Forest	1335.2295720542756
 Ohio	1497.7702054401639
 Kentucky	1377.6559580150288
 Oklahoma	1627.0326820154455
 Tulsa	1456.1070928598342
 Texas Tech	1492.1810240682892
 UTEP	1319.162177742018
 URI	1376.7311276638525
 Marshall	1457.6507394672376
 SE Missouri St	1276.7792623579908
 Kansas	1351.796720242711
 San Jose State	1420.3346241840197
